"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"83","PA5040049","143468020001","S","29-OCT-13","SIF",NA,NA
"84","PA5040049","143468021001","S","29-OCT-13","SOX",NA,NA
"85","PA5040049","170163142001","S","28-DEC-16","SIA",NA,NA
"86","PA5040049","170163144001","S","28-DEC-16","SOX",NA,NA
"87","PA5040049","172727142002","S","16-AUG-17","SIA",NA,NA
"88","PA5040049","172727144002","S","16-AUG-17","SOX",NA,NA
"89","PA5040049","172727242003","S","25-JUL-17","SIA",NA,NA
"90","PA5040049","172727244003","S","25-JUL-17","SOX",NA,NA
"91","PA5040050","101994384001","S","02-NOV-09","SIA",NA,NA
"92","PA5040050","101994385001","S","21-JUN-10","SOX",NA,NA
"93","PA5040050","12340296001","S","01-NOV-11","SIA",NA,NA
"94","PA5040050","12340297001","S","01-NOV-11","SIE",NA,NA
"95","PA5040050","12340298001","S","20-DEC-11","SIF",NA,NA
"96","PA5040050","12340299001","S","20-DEC-11","SOX",NA,NA
"97","PA5040050","131092318001","S","05-FEB-13","SIA",NA,NA
"98","PA5040050","131092320001","S","05-FEB-13","SOX",NA,NA
"99","PA5040050","132291318001","S","13-MAY-13","SIA",NA,NA
"100","PA5040050","132291318003","S","13-MAY-13","SIA",NA,NA
"101","PA5040050","132291319001","S","13-MAY-13","SFJ",NA,NA
"102","PA5040050","132291319003","S","13-MAY-13","SFJ",NA,NA
"103","PA5040050","132291320001","S","13-MAY-13","SIE",NA,NA
"104","PA5040050","132291320003","S","13-MAY-13","SIE",NA,NA
"105","PA5040050","133468318031","S","30-JUL-13","SIA",NA,NA
"106","PA5040050","133468318034","S","30-JUL-13","SIA",NA,NA
"107","PA5040050","133468319031","S","30-JUL-13","SFJ",NA,NA
"108","PA5040050","133468319034","S","30-JUL-13","SFJ",NA,NA
"109","PA5040050","133468320031","S","30-JUL-13","SIE",NA,NA
"110","PA5040050","133468320034","S","30-JUL-13","SIE",NA,NA
"111","PA5040050","133933118061","S","04-SEP-13","SIA",NA,NA
"112","PA5040050","133933118064","S","04-SEP-13","SIA",NA,NA
"113","PA5040050","133933119061","S","04-SEP-13","SFJ",NA,NA
"114","PA5040050","133933119064","S","04-SEP-13","SFJ",NA,NA
"115","PA5040050","133933120061","S","04-SEP-13","SIE",NA,NA
"116","PA5040050","133933120064","S","04-SEP-13","SIE",NA,NA
"117","PA5040050","140920224002","S","28-JAN-14","SIA",NA,NA
"118","PA5040050","140920225002","S","28-JAN-14","SFJ",NA,NA
"119","PA5040050","140920226002","S","28-JAN-14","SIE",NA,NA
"120","PA5040050","140920227002","S","11-JUL-14","SIF",NA,NA
"121","PA5040050","140920228002","S","13-AUG-14","SOX",NA,NA
"122","PA5040050","140920728007","S","18-AUG-14","SOX",NA,NA
"123","PA5040050","141965924057","S","28-APR-14","SFL",NA,NA
"124","PA5040050","142255624087","S","27-MAY-14","SFL",NA,NA
"125","PA5040050","142291321001","S","11-JUL-14","SIF",NA,NA
"126","PA5040050","142291322001","S","18-AUG-14","SOX",NA,NA
"127","PA5040050","144602918062","S","01-NOV-13","SIA",NA,NA
"128","PA5040050","144602919062","S","01-NOV-13","SFJ",NA,NA
"129","PA5040050","144602920062","S","01-NOV-13","SIE",NA,NA
"130","PA5040050","150767630001","S","27-JAN-15","SFL",NA,NA
"131","PA5040050","150767632001","S","14-APR-15","SOX",NA,NA
"132","PA5040050","152503630031","S","25-AUG-15","SFJ",NA,NA
"133","PA5040050","160848436001","S","11-FEB-16","SIA",NA,NA
"134","PA5040050","160848438001","S","07-MAR-16","SOX",NA,NA
"135","PA5040050","161578236003","S","10-MAY-16","SFJ",NA,NA
"136","PA5040050","163042836004","S","16-AUG-16","SIA",NA,NA
"137","PA5040050","163042838004","S","16-AUG-16","SOX",NA,NA
"138","PA5040050","163596136005","S","23-AUG-16","SFJ",NA,NA
"139","PA5040050","171437242001","S","06-MAR-17","SFJ",NA,NA
"140","PA5040050","171603642002","S","01-MAY-17","SFJ",NA,NA
"141","PA5040050","172727542008","S","25-JUL-17","SFJ",NA,NA
"142","PA5040051","120219412001","S","28-DEC-11","SIA",NA,NA
"143","PA5040051","120219414001","S","28-DEC-11","SOX",NA,NA
"144","PA5040051","121572212002","S","27-MAR-12","SIA",NA,NA
"145","PA5040051","121572214002","S","30-APR-12","SOX",NA,NA
"146","PA5040051","123303212001","S","23-JUL-12","SIA",NA,NA
"147","PA5040051","123303212004","S","23-JUL-12","SIA",NA,NA
"148","PA5040051","123303213001","S","23-JUL-12","SIE",NA,NA
"149","PA5040051","123303213004","S","23-JUL-12","SIE",NA,NA
"150","PA5040051","123303314005","S","13-AUG-12","SIA",NA,NA
"151","PA5040051","123303315005","S","13-AUG-12","SIB",NA,NA
"152","PA5040051","123303316005","S","13-AUG-12","SIF",NA,NA
"153","PA5040051","123303317005","S","13-AUG-12","SOX",NA,NA
"154","PA5040051","133303214001","S","01-JUL-13","SIF",NA,NA
"155","PA5040051","133303215001","S","01-JUL-13","SOX",NA,NA
"156","PA5040051","141623724002","S","24-MAR-14","SIA",NA,NA
"157","PA5040051","141623726002","S","28-APR-14","SOX",NA,NA
"158","PA5040051","160203836001","S","28-DEC-15","SIA",NA,NA
"159","PA5040051","160203838001","S","04-JAN-16","SOX",NA,NA
"160","PA5040051","172318042001","S","28-JUN-17","SIA",NA,NA
"161","PA5040051","172318044001","S","20-JUL-17","SOX",NA,NA
"162","PA5040051","181116149001","S","16-MAR-18","SOX",NA,NA
"163","PA5040051","181894548002","S","23-JUL-18","SIA",NA,NA
"164","PA5040051","181894550002","S","15-AUG-18","SOX",NA,NA
"165","PA5040051","190837654001","S","13-MAR-19","SIA",NA,NA
"166","PA5040051","190837656001","S","24-APR-19","SOX",NA,NA
"167","PA5040051","191237856003","S","13-MAR-19","SOX",NA,NA
