GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Reservation with Trust Lands; trust lands only Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Tribal Census Tract Code,Tribal Block Group Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G42000100301011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030101","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",915,15,26,7,31,36,41,24,9,30,143,115,224,83,75,47,9,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",47,17,19,11,20,25,25,22,12,22,48,56,62,34,39,28,10
"G42000100301021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",408,0,0,16,16,24,0,0,10,27,48,51,95,97,10,0,14,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",75,109,109,27,26,27,109,109,16,35,38,42,59,60,17,109,21
"G42000100301022","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",944,14,11,0,32,0,13,31,82,32,74,193,139,150,90,33,50,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",115,21,18,109,36,109,21,36,57,36,57,105,70,73,55,35,50
"G42000100301023","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",868,34,64,70,26,27,35,31,111,60,111,100,96,70,16,0,17,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",127,38,63,48,30,31,35,34,63,62,55,64,59,94,26,109,27
"G42000100302001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",1249,11,76,41,74,52,162,65,67,62,167,173,185,75,21,9,9,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",84,12,25,30,39,26,54,35,32,27,49,53,53,40,16,14,10
"G42000100302002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",862,13,18,69,23,39,52,48,37,67,74,69,169,93,52,25,14,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",79,14,16,45,18,27,38,26,24,34,34,34,52,40,39,29,15
"G42000100303001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",792,10,29,36,19,62,71,60,48,35,52,101,80,100,38,31,20,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",86,15,27,28,26,37,57,47,42,28,40,53,48,48,24,32,25
"G42000100303002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",646,16,0,51,9,13,87,38,60,50,62,116,86,26,32,0,0,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",77,19,109,42,15,16,49,29,56,38,33,58,36,24,31,109,109
"G42000100304001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",537,41,13,63,37,0,0,59,52,0,15,117,52,12,30,17,29,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",98,39,22,74,40,109,109,50,50,109,23,74,47,20,34,27,30
"G42000100304002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 304, Adams County, Pennsylvania",335,7,9,19,9,16,30,36,19,16,44,15,42,49,13,3,8,"Block Group 2, Census Tract 304, Adams County, Pennsylvania",84,11,16,20,14,20,28,34,22,15,30,15,35,31,17,5,9
"G42000100304003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 304, Adams County, Pennsylvania",461,0,0,19,0,28,68,0,46,29,27,64,17,145,0,0,18,"Block Group 3, Census Tract 304, Adams County, Pennsylvania",92,109,109,30,109,32,51,109,40,24,29,44,25,82,109,109,28
"G42000100304004","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 304, Adams County, Pennsylvania",634,17,13,70,29,47,15,25,40,0,143,31,157,34,13,0,0,"Block Group 4, Census Tract 304, Adams County, Pennsylvania",93,29,22,72,29,55,24,29,42,109,72,34,93,39,21,109,109
"G42000100304005","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","5",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 304, Adams County, Pennsylvania",251,12,11,0,24,0,31,0,0,18,11,48,24,61,0,11,0,"Block Group 5, Census Tract 304, Adams County, Pennsylvania",67,19,18,109,20,109,34,109,109,27,17,41,29,65,109,17,109
"G42000100305001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030500","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 305, Adams County, Pennsylvania",928,19,70,67,50,93,55,43,67,21,80,99,115,102,23,6,18,"Block Group 1, Census Tract 305, Adams County, Pennsylvania",79,15,52,36,27,53,33,23,39,15,37,34,45,42,18,8,16
"G42000100305002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030500","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 305, Adams County, Pennsylvania",613,16,12,12,43,62,13,48,37,27,21,84,107,71,26,11,23,"Block Group 2, Census Tract 305, Adams County, Pennsylvania",60,12,13,12,28,32,15,33,22,21,15,33,39,35,15,10,21
"G42000100306001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 306, Adams County, Pennsylvania",413,46,6,37,8,43,0,0,0,7,62,58,86,52,8,0,0,"Block Group 1, Census Tract 306, Adams County, Pennsylvania",82,45,10,29,13,29,109,109,109,11,38,33,48,45,12,109,109
"G42000100306002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030600","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 306, Adams County, Pennsylvania",516,0,35,9,22,8,8,23,46,77,34,80,85,26,26,28,9,"Block Group 2, Census Tract 306, Adams County, Pennsylvania",94,109,29,14,33,14,12,22,43,47,28,52,60,22,24,22,16
"G42000100306003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030600","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 306, Adams County, Pennsylvania",713,6,52,25,24,54,32,19,16,27,58,138,106,67,45,27,17,"Block Group 3, Census Tract 306, Adams County, Pennsylvania",125,9,38,24,22,41,27,21,19,43,43,69,43,37,38,27,21
"G42000100307001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307, Adams County, Pennsylvania",1088,106,135,51,52,24,75,47,47,38,100,90,108,118,31,46,20,"Block Group 1, Census Tract 307, Adams County, Pennsylvania",125,82,96,45,46,26,77,45,43,61,78,56,64,76,36,43,22
"G42000100307002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307, Adams County, Pennsylvania",740,15,35,17,39,30,67,47,14,44,65,162,89,65,37,14,0,"Block Group 2, Census Tract 307, Adams County, Pennsylvania",78,23,38,27,37,32,40,45,23,32,66,68,52,51,33,23,109
"G42000100307003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030700","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 307, Adams County, Pennsylvania",704,37,38,36,38,92,41,12,40,58,59,76,80,76,10,8,3,"Block Group 3, Census Tract 307, Adams County, Pennsylvania",80,35,25,23,33,54,20,9,23,35,29,34,30,34,11,9,6
"G42000100308001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030800","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 308, Adams County, Pennsylvania",701,47,12,51,29,38,80,44,41,23,52,95,90,61,13,10,15,"Block Group 1, Census Tract 308, Adams County, Pennsylvania",79,28,7,26,15,18,36,17,29,13,20,37,27,27,10,9,14
"G42000100308002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030800","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 308, Adams County, Pennsylvania",788,49,19,29,30,35,19,56,49,11,81,115,109,65,50,47,24,"Block Group 2, Census Tract 308, Adams County, Pennsylvania",63,31,16,20,20,22,15,35,31,11,43,52,44,32,29,43,22
"G42000100308003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030800","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 308, Adams County, Pennsylvania",489,2,11,38,10,25,18,39,22,17,80,69,94,40,13,11,0,"Block Group 3, Census Tract 308, Adams County, Pennsylvania",52,4,9,20,8,14,11,31,16,19,28,28,32,23,9,12,109
"G42000100308004","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030800","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 308, Adams County, Pennsylvania",890,38,24,15,61,84,43,69,35,36,82,111,155,31,20,69,17,"Block Group 4, Census Tract 308, Adams County, Pennsylvania",79,24,18,17,27,42,24,28,21,21,36,40,51,19,15,50,15
"G42000100309001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030900","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309, Adams County, Pennsylvania",828,81,45,54,81,25,19,60,36,47,25,112,182,44,11,3,3,"Block Group 1, Census Tract 309, Adams County, Pennsylvania",105,42,28,32,47,28,15,39,31,25,16,52,70,32,10,5,5
"G42000100309002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030900","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309, Adams County, Pennsylvania",684,18,49,4,15,9,18,59,4,70,56,134,158,18,56,12,4,"Block Group 2, Census Tract 309, Adams County, Pennsylvania",88,14,37,7,13,10,15,42,7,52,37,63,71,27,42,18,6
"G42000100309003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030900","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 309, Adams County, Pennsylvania",1236,150,57,49,76,205,120,18,44,19,94,109,144,102,34,15,0,"Block Group 3, Census Tract 309, Adams County, Pennsylvania",122,77,53,43,41,119,82,28,40,28,56,75,61,70,35,24,109
"G42000100309004","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030900","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 309, Adams County, Pennsylvania",287,24,21,15,14,0,21,0,8,12,13,50,56,20,33,0,0,"Block Group 4, Census Tract 309, Adams County, Pennsylvania",60,36,31,24,21,109,25,109,14,19,15,38,40,30,35,109,109
"G42000100310001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031000","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 310, Adams County, Pennsylvania",575,10,24,32,0,7,56,42,42,15,76,105,92,46,8,20,0,"Block Group 1, Census Tract 310, Adams County, Pennsylvania",51,15,23,35,109,11,39,28,34,17,44,53,50,33,13,22,109
"G42000100311011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031101","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 311.01, Adams County, Pennsylvania",621,13,111,81,17,48,70,0,25,22,106,80,48,0,0,0,0,"Block Group 1, Census Tract 311.01, Adams County, Pennsylvania",77,22,61,52,27,44,46,109,25,27,66,69,44,109,109,109,109
"G42000100311012","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031101","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 311.01, Adams County, Pennsylvania",674,35,23,7,35,59,71,44,58,42,166,59,54,21,0,0,0,"Block Group 2, Census Tract 311.01, Adams County, Pennsylvania",93,27,26,12,37,50,56,40,54,41,101,48,42,32,109,109,109
"G42000100311013","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031101","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 311.01, Adams County, Pennsylvania",986,34,20,53,30,26,96,181,40,0,90,163,136,84,0,33,0,"Block Group 3, Census Tract 311.01, Adams County, Pennsylvania",78,37,23,40,33,25,59,104,36,109,52,83,81,59,109,35,109
"G42000100311021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031102","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 311.02, Adams County, Pennsylvania",1125,10,29,50,68,74,26,9,52,21,55,174,293,158,67,39,0,"Block Group 1, Census Tract 311.02, Adams County, Pennsylvania",69,16,22,50,47,44,22,14,34,23,38,68,62,57,34,34,109
"G42000100312011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031201","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.01, Adams County, Pennsylvania",727,27,25,24,60,46,0,39,38,46,76,27,124,118,39,21,17,"Block Group 1, Census Tract 312.01, Adams County, Pennsylvania",78,30,23,24,54,37,109,31,36,38,46,29,57,63,30,24,28
"G42000100312012","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031201","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312.01, Adams County, Pennsylvania",763,27,33,6,37,62,18,21,31,61,53,61,132,58,111,21,31,"Block Group 2, Census Tract 312.01, Adams County, Pennsylvania",84,24,32,11,29,52,22,23,25,52,35,44,55,39,60,23,29
"G42000100312021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031202","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.02, Adams County, Pennsylvania",968,25,46,19,28,29,53,45,49,19,70,143,250,103,42,34,13,"Block Group 1, Census Tract 312.02, Adams County, Pennsylvania",50,34,34,17,21,20,35,27,26,16,34,46,59,40,28,25,13
"G42000100312031","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031203","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.03, Adams County, Pennsylvania",1150,7,45,39,23,54,5,97,27,71,121,187,173,137,42,69,53,"Block Group 1, Census Tract 312.03, Adams County, Pennsylvania",55,10,26,25,24,40,8,38,26,43,56,49,63,49,25,36,30
"G42000100313001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 313, Adams County, Pennsylvania",1049,21,43,22,90,87,60,29,85,40,109,116,176,109,38,15,9,"Block Group 1, Census Tract 313, Adams County, Pennsylvania",93,23,31,25,41,72,45,26,40,31,55,40,60,47,24,17,14
"G42000100313002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 313, Adams County, Pennsylvania",688,83,20,22,45,45,62,11,49,42,46,92,88,33,32,18,0,"Block Group 2, Census Tract 313, Adams County, Pennsylvania",69,59,23,26,31,35,56,16,32,28,31,51,52,28,33,19,109
"G42000100314011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031401","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 314.01, Adams County, Pennsylvania",819,47,47,68,48,60,34,14,16,30,111,112,93,83,33,11,12,"Block Group 1, Census Tract 314.01, Adams County, Pennsylvania",136,40,33,45,34,47,27,16,22,29,70,64,47,43,23,16,17
"G42000100314012","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031401","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 314.01, Adams County, Pennsylvania",754,77,0,20,60,43,67,28,29,47,38,70,106,72,21,57,19,"Block Group 2, Census Tract 314.01, Adams County, Pennsylvania",137,62,109,21,52,41,59,27,28,35,30,41,42,42,21,35,23
"G42000100314021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031402","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 314.02, Adams County, Pennsylvania",396,12,24,12,29,0,20,0,25,11,30,81,37,46,18,14,37,"Block Group 1, Census Tract 314.02, Adams County, Pennsylvania",89,18,27,19,32,109,22,109,31,17,28,42,33,38,19,21,35
"G42000100314022","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031402","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 314.02, Adams County, Pennsylvania",518,43,24,38,41,42,35,19,22,31,21,56,67,55,24,0,0,"Block Group 2, Census Tract 314.02, Adams County, Pennsylvania",86,36,27,43,41,51,34,21,31,30,23,40,46,42,26,109,109
"G42000100315011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031501","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 315.01, Adams County, Pennsylvania",105,29,19,0,0,12,0,0,0,0,0,0,3,29,0,0,13,"Block Group 1, Census Tract 315.01, Adams County, Pennsylvania",51,42,20,109,109,20,109,109,109,109,109,109,9,31,109,109,17
"G42000100315012","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031501","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 315.01, Adams County, Pennsylvania",365,62,55,0,11,28,0,13,20,0,41,18,8,47,54,8,0,"Block Group 2, Census Tract 315.01, Adams County, Pennsylvania",101,37,38,109,19,31,109,21,30,109,34,32,14,37,44,14,109
"G42000100315021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031502","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 315.02, Adams County, Pennsylvania",515,93,119,32,37,11,37,0,12,0,53,69,0,0,52,0,0,"Block Group 1, Census Tract 315.02, Adams County, Pennsylvania",137,91,76,39,35,18,38,109,19,109,40,53,109,109,67,109,109
"G42000100315022","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031502","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 315.02, Adams County, Pennsylvania",378,44,79,44,0,0,27,42,47,16,64,0,0,0,0,15,0,"Block Group 2, Census Tract 315.02, Adams County, Pennsylvania",87,40,44,56,109,109,31,40,42,27,55,109,109,109,109,24,109
"G42000100315023","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031502","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 315.02, Adams County, Pennsylvania",304,0,35,12,10,11,0,17,0,34,15,13,44,70,14,12,17,"Block Group 3, Census Tract 315.02, Adams County, Pennsylvania",89,109,40,19,19,20,109,25,109,37,25,22,36,58,25,20,26
"G42000100315024","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031502","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 315.02, Adams County, Pennsylvania",680,77,42,11,60,42,33,9,2,0,96,94,99,36,0,45,34,"Block Group 4, Census Tract 315.02, Adams County, Pennsylvania",150,67,48,19,46,55,34,17,6,109,92,59,62,56,109,58,55
"G42000100316001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 316, Adams County, Pennsylvania",338,7,9,21,10,11,8,5,19,21,44,51,49,32,13,6,32,"Block Group 1, Census Tract 316, Adams County, Pennsylvania",35,7,9,14,9,17,6,6,13,14,18,23,19,16,11,8,20
"G42000100316002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031600","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 316, Adams County, Pennsylvania",330,13,10,9,4,9,15,7,17,19,20,34,55,31,23,26,38,"Block Group 2, Census Tract 316, Adams County, Pennsylvania",42,10,13,9,7,8,18,8,14,13,12,16,23,17,13,18,15
"G42000100316003","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031600","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 316, Adams County, Pennsylvania",1114,6,20,22,17,40,26,57,34,66,124,149,154,133,114,93,59,"Block Group 3, Census Tract 316, Adams County, Pennsylvania",108,7,22,23,22,30,30,47,30,60,51,70,64,62,54,54,58
"G42000100316004","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031600","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 316, Adams County, Pennsylvania",668,2,7,15,10,14,55,26,29,46,82,114,87,65,68,30,18,"Block Group 4, Census Tract 316, Adams County, Pennsylvania",67,4,7,15,9,11,27,28,28,27,36,44,41,31,58,15,19
"G42000100317001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 317, Adams County, Pennsylvania",447,27,22,24,8,5,24,20,42,29,47,52,79,22,37,9,0,"Block Group 1, Census Tract 317, Adams County, Pennsylvania",57,35,18,15,13,9,16,18,29,21,29,29,32,17,35,14,109
"G42000100317002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"031700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 317, Adams County, Pennsylvania",754,41,32,33,23,45,34,59,26,24,102,147,118,42,18,0,10,"Block Group 2, Census Tract 317, Adams County, Pennsylvania",63,30,19,22,17,23,20,30,19,20,49,59,44,25,15,109,16
"G42000300103001","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"010300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
"G42000300103002","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"010300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",73,35,20,0,8,0,0,0,0,0,10,0,0,0,0,0,0,"Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",41,28,22,109,14,109,109,109,109,109,16,109,109,109,109,109,109
"G42000300103003","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"010300","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",124,67,28,0,0,0,0,13,0,0,16,0,0,0,0,0,0,"Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",54,56,22,109,109,109,109,21,109,109,23,109,109,109,109,109,109
"G42000300103004","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"010300","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",94,39,20,0,0,0,0,0,0,25,0,0,0,0,10,0,0,"Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",50,45,29,109,109,109,109,109,109,9,109,109,109,109,17,109,109
"G42000300201001","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"020100","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",48,0,0,9,0,0,0,12,0,0,13,0,0,0,0,0,14,"Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",26,109,109,14,109,109,109,20,109,109,20,109,109,109,109,109,24
"G42000300201002","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"020100","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",750,121,57,71,21,26,43,34,8,0,84,21,24,61,93,8,78,"Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",138,79,36,45,23,30,39,35,12,109,51,25,26,48,87,14,61
"G42000300201003","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"020100","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",43,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",38,109,109,23,40,109,109,109,109,109,109,109,109,109,109,109,109
"G42000300201004","2006-2010",,,"Pennsylvania","42","Allegheny County","003",,,"020100","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",670,192,43,0,0,22,0,36,78,122,35,63,0,23,16,12,28,"Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",159,115,42,109,109,34,109,31,67,108,42,68,109,28,27,18,35
