GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Reservation with Trust Lands; trust lands only Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Tribal Census Tract Code,Tribal Block Group Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G42001301004002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100400","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1004, Blair County, Pennsylvania",291,0,0,13,12,40,0,6,22,11,41,55,51,12,28,0,0,"Block Group 2, Census Tract 1004, Blair County, Pennsylvania",54,109,109,17,21,32,109,11,24,17,53,38,37,18,36,109,109
"G42001301005001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100500","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1005, Blair County, Pennsylvania",327,39,19,18,42,45,24,28,9,11,4,10,52,12,14,0,0,"Block Group 1, Census Tract 1005, Blair County, Pennsylvania",89,37,20,20,49,52,26,32,14,17,9,16,67,16,21,109,109
"G42001301005002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100500","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1005, Blair County, Pennsylvania",317,49,30,36,29,19,33,18,7,9,25,10,15,8,29,0,0,"Block Group 2, Census Tract 1005, Blair County, Pennsylvania",81,47,32,34,28,29,37,22,11,14,38,15,23,13,41,109,109
"G42001301005003","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100500","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1005, Blair County, Pennsylvania",443,85,41,0,15,35,17,0,48,43,40,48,48,23,0,0,0,"Block Group 3, Census Tract 1005, Blair County, Pennsylvania",104,67,46,109,17,41,23,109,33,32,48,56,54,33,109,109,109
"G42001301005004","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100500","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1005, Blair County, Pennsylvania",331,13,8,17,10,10,0,18,9,22,18,84,55,26,24,17,0,"Block Group 4, Census Tract 1005, Blair County, Pennsylvania",66,22,12,20,15,15,109,20,15,26,22,48,42,25,28,28,109
"G42001301006001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1006, Blair County, Pennsylvania",240,0,0,30,9,10,17,20,7,23,18,50,7,17,8,24,0,"Block Group 1, Census Tract 1006, Blair County, Pennsylvania",46,109,109,29,15,16,19,23,11,25,18,44,11,20,12,37,109
"G42001301006002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100600","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1006, Blair County, Pennsylvania",292,34,0,0,0,19,20,0,42,0,29,68,37,20,6,9,8,"Block Group 2, Census Tract 1006, Blair County, Pennsylvania",60,27,109,109,109,21,23,109,54,109,34,33,25,23,12,14,13
"G42001301006003","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100600","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1006, Blair County, Pennsylvania",260,24,43,12,11,29,11,0,0,12,22,68,19,9,0,0,0,"Block Group 3, Census Tract 1006, Blair County, Pennsylvania",58,27,52,19,18,30,17,109,109,18,21,46,17,15,109,109,109
"G42001301006004","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100600","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1006, Blair County, Pennsylvania",264,16,19,25,31,26,16,10,0,0,43,20,22,7,29,0,0,"Block Group 4, Census Tract 1006, Blair County, Pennsylvania",57,17,21,28,29,24,18,16,109,109,34,23,22,11,45,109,109
"G42001301007001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1007, Blair County, Pennsylvania",316,60,30,10,12,48,11,21,32,17,54,9,0,12,0,0,0,"Block Group 1, Census Tract 1007, Blair County, Pennsylvania",97,60,29,16,18,35,18,25,49,19,57,15,109,18,109,109,109
"G42001301007002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1007, Blair County, Pennsylvania",311,109,30,16,41,10,0,0,0,0,24,0,50,9,13,9,0,"Block Group 2, Census Tract 1007, Blair County, Pennsylvania",69,65,28,19,46,17,109,109,109,109,27,109,37,14,20,16,109
"G42001301007003","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100700","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1007, Blair County, Pennsylvania",150,0,37,12,7,9,17,12,0,0,23,27,6,0,0,0,0,"Block Group 3, Census Tract 1007, Blair County, Pennsylvania",48,109,32,18,12,14,20,19,109,109,24,28,10,109,109,109,109
"G42001301008001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100800","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1008, Blair County, Pennsylvania",271,0,35,11,10,23,32,12,9,7,10,18,50,45,9,0,0,"Block Group 1, Census Tract 1008, Blair County, Pennsylvania",62,109,26,17,16,26,31,20,14,13,17,22,38,59,13,109,109
